419123,5991
2196119,5991
2379820,5991
2258741,5991
1519334,5991
227541,5991
1800599,6014
115101,6014
2333871,6029
1576704,6030
4873,6037
1268883,6042
671121,6042
74450,6051
1268019,6066
1506995,607
1078232,607
2337306,607
2277508,607
593144,6117
1299602,6134
154607,6134
1880978,6134
248813,6134
564815,6134
1674602,6166
963361,6179
1374428,6195
2597547,6205
1931529,621
27289,621
677683,621
2214612,6221
2093403,6223
2005028,6231
1687459,6235
1177364,6254
2056485,6255
1505350,6255
2053887,6255
941345,6255
2424006,6255
445423,6255
2258091,6255
309851,6255
1578238,6255
667365,6255
438544,6266
429669,6274
404637,6287
1819558,6291
697022,6303
115522,631
2106888,631
1936005,631
1082804,631
1822584,631
1601247,631
1389631,6329
504414,6339
652071,6386
375702,6386
1631564,6408
2569338,6408
1128066,6408
2157966,6424
2154307,6449
281338,645
1775667,645
578175,6450
1356914,6475
120114,6475
2484843,6475
1046196,6475
251322,6475
1051754,6475
2333781,6545
1989789,658
679003,658
1672756,659
470351,6596
1239196,660
1944503,6609
928400,6610
1064656,662
764910,6631
231712,6631
2549183,6631
1783925,6631
577703,6677
397607,6706
723534,6721
1633454,6721
882243,6736
114216,6736
1971902,6736
1643672,6736
1511953,6754
1326145,6760
1263557,6771
